pollster,source_url,date_from,date_to,sample_size,ARTAUD,POUTOU,MELENCHON,ROUSSEL,RUFFIN,ROUSSEAU,TONDELIER,JADOT,GLUCKSMANN,HOLLANDE,FAURE,ATTAL,BAYROU,PHILIPPE,DARMANIN,LECORNU,RETAILLEAU,VILLEPIN,DUPONT_AIGNAN,BARDELLA,LE_PEN,KNAFO,ZEMMOUR
Odoxa,https://www.odoxa.fr/sondage/spectaculaire-come-back-dedouard-philippe-il-remporterait-aujourdhui-la-presidentielle/,2026-03-25,2026-03-26,1005,1,,12,2,,,5,,10,,,,,21,,,8,,2,34,,5,
Odoxa,https://www.odoxa.fr/sondage/spectaculaire-come-back-dedouard-philippe-il-remporterait-aujourdhui-la-presidentielle/,2026-03-25,2026-03-26,1005,1,,13,2,,,4,,10,,,,,25,,,,,2,38,,5,
Elabe,https://www.commission-des-sondages.fr/notices/files/notices/2026/mars/10166-pres-elabe-28-mars.pdf,2026-03-25,2026-03-27,1504,0.5,,10.5,3,,,4.5,,10.5,,,,,20.5,,,7.0,3,2.5,35,,,3
Elabe,https://www.commission-des-sondages.fr/notices/files/notices/2026/mars/10166-pres-elabe-28-mars.pdf,2026-03-25,2026-03-27,1504,0.5,,11.5,3.5,,,5,,,8.5,,,,22,,,8.5,2.5,3,,31.5,,3.5
Elabe,https://www.commission-des-sondages.fr/notices/files/notices/2026/mars/10166-pres-elabe-28-mars.pdf,2026-03-25,2026-03-27,1504,1,,12,4,,,4.5,,,,4.5,,,25.5,,,,3,2.5,38,,5,
Elabe,https://www.commission-des-sondages.fr/notices/files/notices/2026/mars/10166-pres-elabe-28-mars.pdf,2026-03-25,2026-03-27,1504,1,,12,2.5,,,4,,12.5,,,11.5,,,,,10,6,2.5,,34,4,
Elabe,https://www.commission-des-sondages.fr/notices/files/notices/2026/mars/10166-pres-elabe-28-mars.pdf,2026-03-25,2026-03-27,1504,0.5,,13,3,,,5,,12.5,,,,,,8,,8.5,5,2.5,38.5,,3.5,
Elabe,https://www.commission-des-sondages.fr/notices/files/notices/2026/mars/10166-pres-elabe-28-mars.pdf,2026-03-25,2026-03-27,1504,1,,11,3,8,,,,12,,,,,,,6.5,9.5,5.5,2.5,37.5,,,3.5
Harris,https://www.commission-des-sondages.fr/notices/files/notices/2026/mars/10165-pres-toluna-harris-interactive-22-mars.pdf,2026-03-22,2026-03-22,1062,1,,11,3,,,4,,14.0,,,,,18,,,7.0,,2,35,,,5
Harris,https://www.commission-des-sondages.fr/notices/files/notices/2026/mars/10165-pres-toluna-harris-interactive-22-mars.pdf,2026-03-22,2026-03-22,1062,1,,11,3,,,5,,14.0,,,13,,,,,10,,2,36,,,5
Ifop,https://www.commission-des-sondages.fr/notices/files/notices/2026/mars/10118-pres-ifop-le-figaro-4-mars.pdf,2026-02-26,2026-02-27,1393,1,,11,2,,,4,,10,,,,,16,,,10,3.5,2.5,36,,,4
Ifop,https://www.commission-des-sondages.fr/notices/files/notices/2026/mars/10118-pres-ifop-le-figaro-4-mars.pdf,2026-02-26,2026-02-27,1393,1,,10,2,,,4,,11,,,,,16,,,11,5,2,,34,,4
Ifop,https://www.commission-des-sondages.fr/notices/files/notices/2026/mars/10118-pres-ifop-le-figaro-4-mars.pdf,2026-02-26,2026-02-27,1393,2,,10,3,,,4,,12,,,11,,,,,12,4,2,36,,,4
Ifop,https://www.commission-des-sondages.fr/notices/files/notices/2026/mars/10118-pres-ifop-le-figaro-4-mars.pdf,2026-02-26,2026-02-27,1393,2,,11,2,,,4.5,,12,,,10,,,,,12,4.5,3,,35,,4
Ifop,https://www.commission-des-sondages.fr/notices/files/notices/2026/mars/10118-pres-ifop-le-figaro-4-mars.pdf,2026-02-26,2026-02-27,1393,1.5,,10,3,,,4,,13,,,,,,8,,13,5,2.5,37,,,3
Ifop,https://www.commission-des-sondages.fr/notices/files/notices/2026/mars/10118-pres-ifop-le-figaro-4-mars.pdf,2026-02-26,2026-02-27,1393,2,,10,3,,,4.5,,13,,,,,,,6,13,5,3,37,,,3.5
Ifop,https://www.commission-des-sondages.fr/notices/files/notices/2026/mars/10118-pres-ifop-le-figaro-4-mars.pdf,2026-02-26,2026-02-27,1393,2,,12,2.5,,,4.5,,11,,,,,23,,,,,3,37,,,5
Ifop,https://www.commission-des-sondages.fr/notices/files/notices/2026/mars/10118-pres-ifop-le-figaro-4-mars.pdf,2026-02-26,2026-02-27,1393,2,,12,3,,,5,,16,,,,,,,,17,,3,38,,,4
Ifop,https://www.commission-des-sondages.fr/notices/files/notices/2026/mars/10118-pres-ifop-le-figaro-4-mars.pdf,2026-02-26,2026-02-27,1393,2,,11,3,,,5,,,8,,,,18,,,11,,2,36,,,4
Ifop,https://www.commission-des-sondages.fr/notices/files/notices/2026/mars/10118-pres-ifop-le-figaro-4-mars.pdf,2026-02-26,2026-02-27,1393,2,,11,3,,,5,,,,5,,,19,,,11,,3.5,36,,,4.5
Odoxa,https://www.odoxa.fr/sondage/jordan-bardella-est-la-personnalite-politique-preferee-des-francais-et-remporterait-la-presidentielle-si-elle-avait-lieu-dimanche-prochain/,2025-11-19,2025-11-20,1300,1,,12,3,,,6.5,,14.5,,,11,,,,,10,,3,36,,,3
Odoxa,https://www.odoxa.fr/sondage/jordan-bardella-est-la-personnalite-politique-preferee-des-francais-et-remporterait-la-presidentielle-si-elle-avait-lieu-dimanche-prochain/,2025-11-19,2025-11-20,1300,1,,11,3,,,6,,13.5,,,,,17,,,8,,2,35,,,3.5
Verian,https://www.commission-des-sondages.fr/notices/files/notices/2025/novembre/10024-pres-verian-lhemicycle-27-novembre.pdf,2025-11-18,2025-11-20,938,,,12,3,,,5,,13,,,,,17,,,7.5,,2,36.5,,,4
Elabe,https://www.commission-des-sondages.fr/notices/files/notices/2025/novembre/10007-pres-elabe-bfmtv-la-tribune-1er-novembre.pdf,2025-10-30,2025-10-31,1396,1,,12,3,,,5.5,,,6.5,,,,19,,,,4,2.5,35,,,6
Elabe,https://www.commission-des-sondages.fr/notices/files/notices/2025/novembre/10007-pres-elabe-bfmtv-la-tribune-1er-novembre.pdf,2025-10-30,2025-10-31,1396,1,,12.5,4.5,,,5.5,,,,5.5,,,19.5,,,,4,2,36.5,,6,
Elabe,https://www.commission-des-sondages.fr/notices/files/notices/2025/novembre/10007-pres-elabe-bfmtv-la-tribune-1er-novembre.pdf,2025-10-30,2025-10-31,1396,1.5,,13,3,,,5,,13,,,,,,7.0,,8.5,5,2,37.5,,,4.5
Elabe,https://www.commission-des-sondages.fr/notices/files/notices/2025/novembre/10007-pres-elabe-bfmtv-la-tribune-1er-novembre.pdf,2025-10-30,2025-10-31,1396,1.5,,11.5,3,,,4.5,,12,,,12.5,,,,,8,4,2.5,,34,6.5,
Elabe,https://www.commission-des-sondages.fr/notices/files/notices/2025/novembre/10007-pres-elabe-bfmtv-la-tribune-1er-novembre.pdf,2025-10-30,2025-10-31,1396,1,,12.5,3,,,4.5,,11,,,,,15.5,,,8,3,2,35,,,4.5
Harris,https://www.commission-des-sondages.fr/notices/files/notices/2025/octobre/9995-pres-toluna-harris-interactive-rtl-8-octobre.pdf,2025-10-07,2025-10-07,1289,1,,14.0,3,,,3,,12,,,,,15,,,10,,1,35,,,6
Harris,https://www.commission-des-sondages.fr/notices/files/notices/2025/octobre/9995-pres-toluna-harris-interactive-rtl-8-octobre.pdf,2025-10-07,2025-10-07,1289,1,,14.0,3,,,3,,14.0,,,12,,,,,11,,1,35,,,6
Harris,https://www.commission-des-sondages.fr/notices/files/notices/2025/octobre/9995-pres-toluna-harris-interactive-rtl-8-octobre.pdf,2025-10-07,2025-10-07,1289,1,,14.0,3,,,3,,12,,,,,16,,,10,,1,,34,,6
Harris,https://www.commission-des-sondages.fr/notices/files/notices/2025/octobre/9995-pres-toluna-harris-interactive-rtl-8-octobre.pdf,2025-10-07,2025-10-07,1289,1,,14.0,3,,,3,,14.0,,,12,,,,,11,,2,,34,,6
Cluster17,https://www.commission-des-sondages.fr/notices/files/notices/2025/octobre/9990-pres-cluster-17-le-point-3-octobre.pdf,2025-09-30,2025-10-01,1531,1.5,,14.0,4,,,,,,,8,,,19.5,,,13,,4.5,30,,,5.5
Cluster17,https://www.commission-des-sondages.fr/notices/files/notices/2025/octobre/9990-pres-cluster-17-le-point-3-octobre.pdf,2025-09-30,2025-10-01,1531,1,,15,4,,,7.5,,,,,,,19.5,,,12.5,,4,31,,,5.5
